date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648

2009-01-01 | 1
2009-01-01 | -1
2009-01-02 | 0
2022-03-28 | 010

2022-03-28 | 999
2022-03-28 | 1000
2022-03-28 | 1000.00001
2022-03-28 | 1000.0001
2022-03-28 | 1000.001
2022-03-28 | 1000.01
2022-03-28 | 1000.1
2022-03-28 | 1001

2022-03-28 | 2147483647
2022-03-28 | 2147483648
2022-03-28 | 2147483649

2022-03-29 | 1000
2022-03-30 | 1000

2022-03-28 |
2022-03-28 || 1
2022-03-28 2022-03-28 | 1
2022-03-28 | 2022-03-28
2022-03-28 | 1 2022-03-28
2022-03-28  |  1
2022-03-28 |  1
2022-03-28 | 1a
2022-03-28 | 1..0
2022-03-28-28 | 1

2012-02-28 | 1
2012-02-29 | 1
2012-02-30 | 1
2013-02-28 | 1
2013-02-29 | 1
2013-02-30 | 1

0-1-1 | 1
1-1-1 | 1
1700-1-1 | 1
2050-03-28 | 1
20500-03-28 | 1
999999-03-28 | 1
